time.ms, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6139, 215.80779, 586.6269, 2.327334, 443.75546, 738.1221, 4.3332944, 753.921, 294.58197, 3.4211104, 372.62585, 311.08264, 5.386876, 369.95456, 764.97095, 1.4801316, 644.8783, 495.457, 3.5375452, 509.60355, 35.418335, 1.5685865, 34.7157, 763.7159, 4.654929, 764.95123, 95.48755, 3.0255358, 560.067, 216.23157, 4.3332324, 426.50024, 563.51013, 3.205819, 556.64856, 64.76715, 4.199231, 423.5288, 604.964, 0.60939974, 322.8951, 44.239502, 2.3534214, 242.07892, 36.884583, 1.5017673, 62.36432, 492.44458, 4.1063075, 446.07526, 567.2175, 3.9998693, 722.5172, 733.40344, -0.1573236, 149.01949, 440.66852, 7.0622864, 420.42886, 548.71857, 6.346858
9103, 284.8393, 475.37646, 2.498405, 312.02075, 713.41754, 4.8389096, 721.41235, 161.06836, 3.451319, 278.8032, 401.89673, 5.4525275, 498.92316, 755.9584, 1.9869708, 610.4077, 366.97836, 2.9686599, 541.60535, 39.51013, -0.103242576, 37.403076, 676.7485, 3.076148, 763.85065, 35.63629, 3.1358166, 434.73865, 161.3595, 4.2627697, 388.11392, 575.5012, 3.5597794, 530.1487, 53.71338, 2.7764425, 464.39432, 720.0371, 0.05661723, 439.0966, 54.398254, 1.1978309, 379.65387, 43.15161, 1.2124188, 35.54358, 386.25024, 3.1374314, 399.8856, 564.6285, 5.1428537, 641.6787, 763.8303, -1.6198611, 245.49557, 538.7582, 7.0622864, 377.26108, 563.72394, 6.6957664
12132, 361.80283, 371.83344, 2.498405, 183.44124, 729.8359, 4.811881, 689.234, 44.161987, 4.093252, 162.687, 485.64203, 5.4117045, 622.86774, 710.4767, 1.9056976, 645.8068, 241.93762, 2.5793176, 538.2344, 55.797974, -1.9307175, 62.674805, 550.75024, 2.9249022, 669.29767, 38.248657, 5.4123106, 311.17682, 105.80603, 4.3765335, 357.70337, 600.9645, 4.0508347, 525.9704, 45.349243, 1.2049524, 392.8735, 762.9773, -1.6422731, 545.9519, 153.31018, 0.8141879, 514.2065, 67.903076, 1.3040798, 62.114624, 262.15515, 2.9724157, 363.03247, 585.82324, 5.6276054, 508.70496, 747.6654, -1.712534, 314.81046, 663.17847, 6.475446, 342.61298, 595.70184, 7.189536
15141, 443.82907, 260.69495, 2.717964, 52.997772, 717.57404, 4.526008, 582.20886, 97.170654, 5.531572, 74.589355, 596.2594, 5.811613, 738.4804, 673.6632, 1.5793352, 734.16113, 148.63013, 1.814424, 570.9208, 50.694702, -2.7745094, 89.04837, 422.8303, 2.9859416, 702.6893, 135.20557, 7.4388795, 174.51117, 95.62976, 4.726671, 344.47073, 637.1372, 4.595826, 570.1704, 34.721436, 0.36930564, 268.23413, 747.6992, -2.4333458, 644.3091, 261.04675, 0.6367039, 554.88727, 51.455444, 1.9308652, 69.220856, 132.56555, 2.9433916, 341.19458, 621.4192, 6.170495, 381.79645, 727.7432, -1.8260223, 289.65045, 753.57385, 5.1755652, 328.5437, 640.943, 7.8554544
18143, 511.01013, 139.87378, 2.726961, 34.991608, 681.6508, 2.767325, 492.7163, 219.92712, 5.7922573, 44.97815, 668.86127, 5.957836, 763.4001, 743.9132, -0.03777942, 723.208, 64.01373, 3.7599335, 610.4836, 57.537964, -3.4471254, 93.48935, 300.2358, 3.1487126, 755.72626, 87.17761, 9.7840185, 55.23419, 70.70203, 4.27236, 357.5015, 673.61346, 5.254246, 619.78973, 44.554504, -0.30384776, 224.03242, 629.21313, -2.955293, 736.93225, 355.88693, 0.9757422, 597.4565, 48.164062, 1.2616941, 149.25905, 36.117065, 1.8052814, 345.31158, 663.18475, 6.9222946, 260.02676, 668.9868, -2.2171142, 177.54504, 688.4507, 4.1046953, 347.01794, 685.6648, 8.384885
21172, 581.4127, 33.793945, 2.3222532, 39.795197, 672.769, 1.532917, 425.4779, 334.8046, 5.425693, 54.75125, 678.4517, 4.675278, 711.98584, 764.469, -1.5029778, 655.2165, 46.366943, 5.574511, 644.66187, 83.27319, -3.7628493, 89.71713, 163.99341, 3.194371, 727.83276, 34.934937, 10.160964, 34.892, 35.108765, 3.6259298, 381.95966, 705.9573, 5.6199784, 654.5045, 67.63904, 0.5280019, 244.61407, 511.20703, -3.5036597, 764.37494, 465.24524, 0.026616812, 632.97424, 71.86029, 1.0575261, 291.7026, 36.94226, 1.5311674, 366.86145, 700.5459, 7.195399, 143.46881, 604.89325, -2.3779945, 79.298676, 603.0945, 3.6177385, 376.53854, 721.0461, 8.756355
24171, 647.29083, 46.8656, 2.063414, 53.55423, 669.7969, 0.027583083, 305.82886, 413.70856, 4.9241657, 48.91028, 685.11273, 3.172859, 577.72455, 757.7511, -1.6254863, 713.77057, 88.287415, 7.5517197, 757.9585, 77.91699, -5.1412497, 82.21808, 33.216064, 3.2233722, 658.2328, 35.21698, 11.488554, 35.078674, 35.306213, 3.617226, 419.35507, 733.08105, 5.921246, 762.33215, 113.29236, -0.31623745, 294.62878, 389.84662, -3.8606255, 764.6644, 600.2929, -0.2627104, 733.7555, 88.98926, 2.5867567, 424.49075, 35.78125, 1.6412057, 403.3467, 732.3225, 7.4910326, 40.248566, 527.5049, -2.1151547, 46.1109, 476.13257, 3.3428957, 418.75302, 749.0577, 9.064435
27193, 656.8662, 52.473206, 3.52501, 59.205902, 680.00726, -1.5438167, 177.3536, 447.82678, 5.321401, 43.854095, 673.93567, 1.6024764, 470.2316, 743.4204, -1.683312, 744.54156, 35.66089, 10.64445, 705.6312, 175.36475, -7.040588, 50.887604, 36.04889, 4.33224, 646.4689, 40.3125, 12.947892, 34.89743, 34.991577, 2.7830021, 451.1494, 731.0291, 6.1743326, 699.96716, 238.6228, -0.43744215, 381.76547, 294.98062, -4.1813188, 744.3766, 728.4955, 0.06125492, 711.8174, 37.95874, 5.052262, 563.37805, 36.36267, 1.591816, 434.84564, 736.05225, 7.8506193, 43.840363, 405.37152, -3.4728925, 37.307617, 350.7873, 3.0979536, 454.51816, 746.6678, 9.3132515
30187, 644.0679, 51.452393, 2.6545997, 53.572998, 688.40356, -3.0989134, 68.34488, 524.3189, 5.3907237, 58.0307, 673.01447, 0.04140183, 470.71957, 743.7132, -1.6487815, 666.0779, 78.01758, 11.398977, 620.1339, 276.13013, -6.9606504, 51.166077, 35.18811, 4.3863306, 645.2603, 34.937744, 12.081868, 35.146515, 35.046997, 2.8269558, 451.42877, 731.37256, 6.182227, 604.5668, 331.5895, -0.9771623, 481.0774, 235.5075, -3.8115568, 678.33167, 757.5233, -1.701144, 645.6571, 72.46106, 3.8811383, 624.63654, 38.82617, 2.2860653, 435.58936, 735.2644, 7.7681875, 92.7027, 283.37134, -3.8067148, 36.246887, 216.77148, 2.849625, 454.36813, 747.432, 9.257503
33198, 687.3597, 89.987915, 0.95053726, 52.964294, 673.68097, -4.546239, 38.33255, 637.4335, 6.371749, 68.77197, 676.2149, -1.4038702, 473.32623, 744.9485, -1.7632128, 632.43896, 44.03192, 8.477122, 597.6564, 398.02753, -6.2154117, 51.389618, 35.21753, 4.425037, 689.87463, 70.44995, 12.197111, 35.253174, 35.439453, 2.8959935, 452.77283, 731.9605, 6.1335526, 520.0135, 425.8194, -0.23459515, 576.07056, 138.71417, -4.0138726, 543.39307, 746.3731, -1.6313705, 654.2468, 45.266968, 1.2693888, 675.5681, 54.873596, 0.17550649, 436.99695, 735.0145, 7.733134, 157.84268, 178.2558, -3.9331264, 94.57568, 97.105225, 2.6452985, 456.34525, 747.98193, 9.497396
